YearBuilt,Elevators,Area,Manager,Floor,APT,FacilitiesNearBy(PublicOffice),FacilitiesNearBy(Mall),FacilitiesNearBy(Hospital),FacilitiesNearBy(Park),FacilitiesNearBy(DepartmentStore),FacilitiesInApt,Parkinglot(Ground),Parkinglot(Basement),TimeToBusStop,TimeToSubway,SchoolNearBy(Elementary),SchoolNearBy(High),SchoolNearBy(Middle),SchoolNearBy(University),SalePrice
2007,5,1483,5,4,2,4,1,1,1,2,5,7,65,5,1,2,1,1,1,36176
2007,5,1334,5,3,2,4,1,1,1,2,5,7,65,1,25,2,1,1,1,315929
2007,5,1273,5,3,2,4,1,1,1,2,5,7,65,6,14,2,1,1,1,28938
2007,5,1483,5,3,2,4,1,1,1,2,5,7,65,27,24,2,1,1,1,348672
2007,5,169,5,25,2,4,1,1,1,2,5,7,65,10,26,2,1,1,1,465486
2007,5,1629,5,3,2,4,1,1,1,2,5,7,65,1,30,2,1,1,1,39385
2007,5,169,5,3,2,4,1,1,1,2,5,7,65,22,5,2,1,1,1,48849
2007,5,1483,5,3,2,4,1,1,1,2,5,7,65,9,21,2,1,1,1,348672
2007,5,1483,5,9,2,4,1,1,1,2,5,7,65,1,26,2,1,1,1,371681
2007,5,1334,5,4,2,4,1,1,1,2,5,7,65,26,11,2,1,1,1,326548
2007,5,1483,5,4,2,4,1,1,1,2,5,7,65,9,11,2,1,1,1,348672
2007,5,1483,5,6,2,4,1,1,1,2,5,7,65,0,5,2,1,1,1,371681
2007,5,1483,5,5,2,4,1,1,1,2,5,7,65,3,28,2,1,1,1,348672
2007,5,1483,5,8,2,4,1,1,1,2,5,7,65,22,29,2,1,1,1,371681
2007,5,1483,5,3,2,4,1,1,1,2,5,7,65,21,14,2,1,1,1,337168
2007,5,1483,5,4,2,4,1,1,1,2,5,7,65,20,20,2,1,1,1,36176
2007,5,1483,5,6,2,4,1,1,1,2,5,7,65,5,20,2,1,1,1,36176
1986,2,91,1,15,1,5,1,1,1,2,3,1,18,12,12,6,3,2,2,95132
1993,2,914,8,1,8,6,1,2,,,4,523,536,28,20,4,5,3,5,11619
2005,,914,6,8,8,5,1,2,,,7,67,798,10,27,3,4,4,4,163716
2007,1,113,5,24,3,2,2,2,1,2,4,554,524,27,17,2,2,2,2,232212
1993,2,644,8,15,8,6,1,2,,,4,523,536,25,14,4,5,3,5,86725
1993,2,1761,8,4,8,6,1,2,,,4,523,536,3,23,4,5,3,5,172566
1993,2,2337,8,18,8,6,1,2,,,4,523,536,14,16,4,5,3,5,19469
1992,1,355,5,4,3,7,1,1,1,1,3,2,,9,4,4,5,3,5,36283
1992,1,576,5,14,3,7,1,1,1,1,3,2,,11,19,4,5,3,5,6176
1993,2,644,8,19,8,6,1,2,,,4,523,536,8,23,4,5,3,5,88495
1992,1,576,5,8,3,7,1,1,1,1,3,2,,15,17,4,5,3,5,61946
1992,8,644,4,16,3,5,1,1,,1,3,142,79,2,20,3,4,3,4,81858
1992,1,576,5,11,3,7,1,1,1,1,3,2,,24,14,4,5,3,5,6176
2007,16,868,14,8,7,3,1,1,2,2,1,,127,28,9,3,2,3,2,19115
2007,16,1643,14,4,7,3,1,1,2,2,1,,127,27,28,3,2,3,2,48849
1986,27,1131,8,5,7,5,,1,1,1,4,713,,2,29,3,1,1,1,162831
2007,16,868,14,21,7,3,1,1,2,2,1,,127,16,7,3,2,3,2,23539
1986,2,91,1,16,1,5,1,1,1,2,3,1,18,25,17,6,3,2,2,9469
2006,11,1437,5,4,6,1,1,1,,,5,249,536,10,3,2,1,2,2,24292
2006,11,1743,5,15,6,1,1,1,,,5,249,536,6,6,2,1,2,2,37964
2007,1,1366,5,19,3,2,2,2,1,2,4,554,524,10,8,2,2,2,2,287486
2007,1,1366,5,2,3,2,2,2,1,2,4,554,524,28,16,2,2,2,2,28584
1993,2,914,8,16,8,6,1,2,,,4,523,536,25,14,4,5,3,5,132743
2007,1,914,5,3,3,2,2,2,1,2,4,554,524,21,5,2,2,2,2,176991
2007,1,1448,5,3,3,2,2,2,1,2,4,554,524,30,22,2,2,2,2,323982
1993,2,644,8,15,8,6,1,2,,,4,523,536,11,3,4,5,3,5,9235
1993,2,914,8,9,8,6,1,2,,,4,523,536,8,9,4,5,3,5,11544
1993,2,914,8,21,8,6,1,2,,,4,523,536,18,1,4,5,3,5,137168
2007,1,1394,5,24,3,2,2,2,1,2,4,554,524,26,2,2,2,2,2,265486
1993,2,644,8,17,8,6,1,2,,,4,523,536,17,1,4,5,3,5,97345
2007,1,113,5,17,3,2,2,2,1,2,4,554,524,0,24,2,2,2,2,199469
2007,1,1366,5,18,3,2,2,2,1,2,4,554,524,29,15,2,2,2,2,29
1993,2,644,8,8,8,6,1,2,,,4,523,536,19,8,4,5,3,5,823
1993,2,914,8,11,8,6,1,2,,,4,523,536,19,4,4,5,3,5,134513
2007,16,868,14,24,7,3,1,1,2,2,1,,127,15,7,3,2,3,2,21769
1986,27,1131,8,5,7,5,,1,1,1,4,713,,28,10,3,1,1,1,18584
1986,27,1131,8,11,7,5,,1,1,1,4,713,,12,13,3,1,1,1,174336
2007,16,1387,14,3,7,3,1,1,2,2,1,,127,5,0,3,2,3,2,319469
1986,27,1377,8,2,7,5,,1,1,1,4,713,,14,21,3,1,1,1,17796
1997,4,914,2,11,1,7,1,1,1,2,5,82,56,29,8,4,,,3,112389
1985,2,676,2,6,1,5,1,1,1,2,3,8,76,20,20,2,1,1,,72566
2007,5,169,5,18,2,4,1,1,1,2,5,7,65,16,22,2,1,1,1,448672
2007,5,169,5,2,2,4,1,1,1,2,5,7,65,19,17,2,1,1,1,462831
2007,5,1273,5,13,2,4,1,1,1,2,5,7,65,12,28,2,1,1,1,317699
2007,5,1273,5,18,2,4,1,1,1,2,5,7,65,15,25,2,1,1,1,29546
1986,2,58,1,1,1,5,1,1,1,2,3,1,18,27,24,6,3,2,2,44247
1986,2,58,1,11,1,5,1,1,1,2,3,1,18,28,24,6,3,2,2,51327
1986,2,547,1,4,1,5,1,1,1,2,3,1,18,20,23,6,3,2,2,52212
2006,11,1437,5,28,6,1,1,1,,,5,249,536,3,6,2,1,2,2,265486
1992,1,355,5,3,3,7,1,1,1,1,3,2,,19,18,4,5,3,5,38761
1992,1,355,5,12,3,7,1,1,1,1,3,2,,0,30,4,5,3,5,39823
1993,2,644,8,21,8,6,1,2,,,4,523,536,11,1,4,5,3,5,847
2005,,1184,6,17,8,5,1,2,,,7,67,798,28,11,3,4,4,4,212389
2007,1,113,5,14,3,2,2,2,1,2,4,554,524,24,18,2,2,2,2,225663
2005,,743,6,1,8,5,1,2,,,7,67,798,19,21,3,4,4,4,151327
1993,2,644,8,2,8,6,1,2,,,4,523,536,17,18,4,5,3,5,9115
2005,,743,6,3,8,5,1,2,,,7,67,798,30,10,3,4,4,4,131415
1993,2,914,8,1,8,6,1,2,,,4,523,536,1,4,4,5,3,5,135398
2007,1,914,5,26,3,2,2,2,1,2,4,554,524,14,15,2,2,2,2,163539
2007,1,914,5,26,3,2,2,2,1,2,4,554,524,6,13,2,2,2,2,176991
1993,2,644,8,2,8,6,1,2,,,4,523,536,20,25,4,5,3,5,853
1993,2,644,8,12,8,6,1,2,,,4,523,536,14,10,4,5,3,5,86283
1993,2,914,8,17,8,6,1,2,,,4,523,536,6,24,4,5,3,5,12616
1986,27,1377,8,1,7,5,,1,1,1,4,713,,8,2,3,1,1,1,27964
2007,16,868,14,11,7,3,1,1,2,2,1,,127,2,3,3,2,3,2,19823
2007,16,868,14,24,7,3,1,1,2,2,1,,127,13,30,3,2,3,2,23539
2007,16,868,14,1,7,3,1,1,2,2,1,,127,23,27,3,2,3,2,19469
2007,16,1387,14,41,7,3,1,1,2,2,1,,127,9,23,3,2,3,2,351769
1986,27,914,8,4,7,5,,1,1,1,4,713,,21,22,3,1,1,1,119292
2007,16,868,14,14,7,3,1,1,2,2,1,,127,14,13,3,2,3,2,19385
2006,11,1192,3,4,3,3,1,1,,1,4,123,181,29,22,4,3,3,1,221238
1986,27,1131,8,3,7,5,,1,1,1,4,713,,7,21,3,1,1,1,15442
2007,16,868,14,17,7,3,1,1,2,2,1,,127,25,14,3,2,3,2,19115
1997,4,914,2,13,1,7,1,1,1,2,5,82,56,12,9,4,,,3,11619
1985,2,587,2,8,1,5,1,1,1,2,3,8,76,20,0,2,1,1,,61946
2007,5,1483,5,4,2,4,1,1,1,2,5,7,65,20,1,2,1,1,1,283185
2007,5,1483,5,17,2,4,1,1,1,2,5,7,65,12,18,2,1,1,1,383185
2007,5,1334,5,25,2,4,1,1,1,2,5,7,65,13,19,2,1,1,1,357522
2007,5,1273,5,27,2,4,1,1,1,2,5,7,65,14,13,2,1,1,1,337168
1986,2,91,1,11,1,5,1,1,1,2,3,1,18,7,24,6,3,2,2,9385
2006,11,914,5,15,6,1,1,1,,,5,249,536,13,9,2,1,2,2,197345
1993,2,644,8,11,8,6,1,2,,,4,523,536,4,2,4,5,3,5,11327
1993,2,914,8,1,8,6,1,2,,,4,523,536,24,12,4,5,3,5,14617
1993,2,2337,8,14,8,6,1,2,,,4,523,536,26,29,4,5,3,5,243362
1992,1,64,5,11,3,7,1,1,1,1,3,2,,30,22,4,5,3,5,6926
1993,2,644,8,4,8,6,1,2,,,4,523,536,17,0,4,5,3,5,79646
2007,1,1394,5,2,3,2,2,2,1,2,4,554,524,17,17,2,2,2,2,295575
1992,1,576,5,1,3,7,1,1,1,1,3,2,,22,7,4,5,3,5,6461
1993,2,914,8,14,8,6,1,2,,,4,523,536,18,1,4,5,3,5,127433
1992,1,64,5,1,3,7,1,1,1,1,3,2,,9,27,4,5,3,5,66371
2007,1,914,5,11,3,2,2,2,1,2,4,554,524,23,17,2,2,2,2,16637
1992,1,355,5,15,3,7,1,1,1,1,3,2,,22,25,4,5,3,5,35398
2007,1,1366,5,12,3,2,2,2,1,2,4,554,524,8,25,2,2,2,2,256637
1986,27,1796,8,9,7,5,,1,1,1,4,713,,10,11,3,1,1,1,254867
2007,16,868,14,15,7,3,1,1,2,2,1,,127,9,0,3,2,3,2,176991
2007,16,868,14,3,7,3,1,1,2,2,1,,127,19,14,3,2,3,2,188495
2006,11,93,3,1,3,3,1,1,,1,4,123,181,3,28,4,3,3,1,17616
2007,16,1643,14,2,7,3,1,1,2,2,1,,127,12,11,3,2,3,2,428318
2006,11,93,3,1,3,3,1,1,,1,4,123,181,8,16,4,3,3,1,17616
1986,27,1131,8,9,7,5,,1,1,1,4,713,,26,12,3,1,1,1,166371
1986,27,914,8,11,7,5,,1,1,1,4,713,,18,14,3,1,1,1,151769
1986,27,1131,8,1,7,5,,1,1,1,4,713,,10,16,3,1,1,1,15442
1997,4,914,2,13,1,7,1,1,1,2,5,82,56,23,15,4,,,3,115929
1997,4,558,2,11,1,7,1,1,1,2,5,82,56,18,8,4,,,3,63274
2006,,91,3,16,3,2,1,1,,1,5,111,184,4,18,3,2,2,2,219469
2003,4,97,2,7,1,7,1,1,1,2,5,82,56,16,29,4,,,3,123893
1985,2,587,2,9,1,5,1,1,1,2,3,8,76,4,30,2,1,1,,59734
1985,2,587,2,5,1,5,1,1,1,2,3,8,76,30,16,2,1,1,,6176
2007,5,1273,5,22,2,4,1,1,1,2,5,7,65,30,13,2,1,1,1,327433
2007,5,1273,5,9,2,4,1,1,1,2,5,7,65,24,4,2,1,1,1,37964
2007,5,169,5,16,2,4,1,1,1,2,5,7,65,29,2,2,1,1,1,448672
2007,5,1483,5,18,2,4,1,1,1,2,5,7,65,27,6,2,1,1,1,37796
2007,5,169,5,11,2,4,1,1,1,2,5,7,65,21,26,2,1,1,1,347787
2007,5,169,5,22,2,4,1,1,1,2,5,7,65,23,16,2,1,1,1,462831
2007,5,169,5,15,2,4,1,1,1,2,5,7,65,29,19,2,1,1,1,448672
2007,5,169,5,7,2,4,1,1,1,2,5,7,65,11,22,2,1,1,1,435398
1986,2,58,1,2,1,5,1,1,1,2,3,1,18,13,18,6,3,2,2,51327
2006,11,1149,5,28,6,1,1,1,,,5,249,536,21,24,2,1,2,2,269911
2006,11,1437,5,3,6,1,1,1,,,5,249,536,27,16,2,1,2,2,256637
2006,11,1412,5,22,6,1,1,1,,,5,249,536,3,29,2,1,2,2,272566
2005,,914,6,24,8,5,1,2,,,7,67,798,25,0,3,4,4,4,178761
2007,1,113,5,3,3,2,2,2,1,2,4,554,524,11,29,2,2,2,2,19469
1993,2,1451,8,5,8,6,1,2,,,4,523,536,10,15,4,5,3,5,174336
1992,1,355,5,15,3,7,1,1,1,1,3,2,,13,0,4,5,3,5,37787
2005,,914,6,18,8,5,1,2,,,7,67,798,10,27,3,4,4,4,161946
1992,8,644,4,4,3,5,1,1,,1,3,142,79,0,20,3,4,3,4,7796
1993,2,644,8,15,8,6,1,2,,,4,523,536,21,16,4,5,3,5,84955
1993,2,644,8,8,8,6,1,2,,,4,523,536,6,12,4,5,3,5,9235
1993,2,644,8,6,8,6,1,2,,,4,523,536,2,27,4,5,3,5,977
1993,2,1288,8,16,8,6,1,2,,,4,523,536,18,21,4,5,3,5,19469
2005,,743,6,17,8,5,1,2,,,7,67,798,6,16,3,4,4,4,153539
1993,2,914,8,18,8,6,1,2,,,4,523,536,10,20,4,5,3,5,122389
1993,2,914,8,2,8,6,1,2,,,4,523,536,17,4,4,5,3,5,123893
2007,1,1448,5,29,3,2,2,2,1,2,4,554,524,16,5,2,2,2,2,341592
1992,1,355,5,14,3,7,1,1,1,1,3,2,,21,23,4,5,3,5,37168
1993,2,914,8,21,8,6,1,2,,,4,523,536,15,11,4,5,3,5,124778
2007,1,113,5,24,3,2,2,2,1,2,4,554,524,25,0,2,2,2,2,222123
2007,1,113,5,6,3,2,2,2,1,2,4,554,524,16,14,2,2,2,2,27964
1993,2,1451,8,3,8,6,1,2,,,4,523,536,19,12,4,5,3,5,168141
1992,8,644,4,15,3,5,1,1,,1,3,142,79,16,0,3,4,3,4,853
1986,27,1377,8,2,7,5,,1,1,1,4,713,,24,10,3,1,1,1,169911
2007,16,868,14,19,7,3,1,1,2,2,1,,127,9,29,3,2,3,2,2779
2007,16,1387,14,31,7,3,1,1,2,2,1,,127,15,2,3,2,3,2,381663
1986,27,1377,8,5,7,5,,1,1,1,4,713,,28,9,3,1,1,1,184955
2007,16,1387,14,23,7,3,1,1,2,2,1,,127,4,27,3,2,3,2,356637
2007,16,868,14,18,7,3,1,1,2,2,1,,127,23,15,3,2,3,2,2779
2007,16,868,14,4,7,3,1,1,2,2,1,,127,6,26,3,2,3,2,1847
1986,27,1131,8,12,7,5,,1,1,1,4,713,,24,19,3,1,1,1,17796
1986,27,914,8,1,7,5,,1,1,1,4,713,,14,4,3,1,1,1,147787
2007,16,1643,14,43,7,3,1,1,2,2,1,,127,0,11,3,2,3,2,442477
1986,27,1131,8,11,7,5,,1,1,1,4,713,,5,30,3,1,1,1,15442
2007,16,1643,14,5,7,3,1,1,2,2,1,,127,25,30,3,2,3,2,48849
1985,2,676,2,8,1,5,1,1,1,2,3,8,76,12,6,2,1,1,,7796
1985,2,587,2,7,1,5,1,1,1,2,3,8,76,11,26,2,1,1,,57522
2007,5,1444,5,1,2,4,1,1,1,2,5,7,65,27,7,2,1,1,1,383185
2007,5,1483,5,2,2,4,1,1,1,2,5,7,65,24,2,2,1,1,1,3823
2007,5,169,5,23,2,4,1,1,1,2,5,7,65,20,10,2,1,1,1,462831
2007,5,1483,5,7,2,4,1,1,1,2,5,7,65,19,19,2,1,1,1,371681
2007,5,1483,5,24,2,4,1,1,1,2,5,7,65,6,15,2,1,1,1,373451
2007,5,1334,5,1,2,4,1,1,1,2,5,7,65,10,5,2,1,1,1,347787
2007,5,1483,5,16,2,4,1,1,1,2,5,7,65,5,15,2,1,1,1,383185
1986,2,58,1,6,1,5,1,1,1,2,3,1,18,14,11,6,3,2,2,48672
2006,11,914,5,7,6,1,1,1,,,5,249,536,12,20,2,1,2,2,19115
2006,11,1437,5,1,6,1,1,1,,,5,249,536,26,27,2,1,2,2,272566
1993,2,1761,8,15,8,6,1,2,,,4,523,536,25,24,4,5,3,5,212389
1992,8,644,4,13,3,5,1,1,,1,3,142,79,18,23,3,4,3,4,86725
2007,1,1448,5,31,3,2,2,2,1,2,4,554,524,20,12,2,2,2,2,247787
1993,2,914,8,4,8,6,1,2,,,4,523,536,20,12,4,5,3,5,128318
1993,2,644,8,17,8,6,1,2,,,4,523,536,13,8,4,5,3,5,85132
2007,1,1366,5,17,3,2,2,2,1,2,4,554,524,23,20,2,2,2,2,265486
1993,2,1451,8,18,8,6,1,2,,,4,523,536,30,5,4,5,3,5,162831
1993,2,644,8,15,8,6,1,2,,,4,523,536,5,25,4,5,3,5,84955
1993,2,644,8,3,8,6,1,2,,,4,523,536,17,25,4,5,3,5,8938
2005,,914,6,2,8,5,1,2,,,7,67,798,6,30,3,4,4,4,18584
1992,1,355,5,13,3,7,1,1,1,1,3,2,,17,22,4,5,3,5,38938
1993,2,2337,8,9,8,6,1,2,,,4,523,536,17,6,4,5,3,5,221238
1986,27,1131,8,12,7,5,,1,1,1,4,713,,5,4,3,1,1,1,16461
1986,27,1377,8,2,7,5,,1,1,1,4,713,,2,30,3,1,1,1,17616
2006,,814,3,17,3,2,1,1,,1,5,111,184,3,25,3,2,2,2,14292
1985,2,587,2,6,1,5,1,1,1,2,3,8,76,13,23,2,1,1,,66371
1985,2,676,2,9,1,5,1,1,1,2,3,8,76,8,16,2,1,1,,72123
1985,2,498,2,7,1,5,1,1,1,2,3,8,76,6,22,2,1,1,,4469
2007,5,169,5,12,2,4,1,1,1,2,5,7,65,27,22,2,1,1,1,448672
2007,5,1483,5,15,2,4,1,1,1,2,5,7,65,22,24,2,1,1,1,383185
2007,5,1273,5,7,2,4,1,1,1,2,5,7,65,29,12,2,1,1,1,37964
1986,2,451,1,13,1,5,1,1,1,2,3,1,18,9,24,6,3,2,2,5397
1986,2,451,1,9,1,5,1,1,1,2,3,1,18,28,3,6,3,2,2,53982
2006,11,1437,5,28,6,1,1,1,,,5,249,536,28,3,2,1,2,2,265486
2006,11,1437,5,2,6,1,1,1,,,5,249,536,24,2,2,1,2,2,265486
2005,,914,6,6,8,5,1,2,,,7,67,798,18,28,3,4,4,4,173451
2005,,743,6,9,8,5,1,2,,,7,67,798,0,11,3,4,4,4,141592
1992,1,576,5,7,3,7,1,1,1,1,3,2,,9,29,4,5,3,5,65929
1993,2,1761,8,17,8,6,1,2,,,4,523,536,13,23,4,5,3,5,18584
2007,1,113,5,9,3,2,2,2,1,2,4,554,524,6,29,2,2,2,2,265486
1993,2,1451,8,19,8,6,1,2,,,4,523,536,8,21,4,5,3,5,181415
1993,2,914,8,14,8,6,1,2,,,4,523,536,27,6,4,5,3,5,127433
1993,2,1761,8,1,8,6,1,2,,,4,523,536,18,7,4,5,3,5,181415
2005,,743,6,7,8,5,1,2,,,7,67,798,24,28,3,4,4,4,144247
2005,,914,6,16,8,5,1,2,,,7,67,798,15,15,3,4,4,4,183628
1992,1,576,5,4,3,7,1,1,1,1,3,2,,23,9,4,5,3,5,44247
1993,2,2337,8,24,8,6,1,2,,,4,523,536,28,13,4,5,3,5,18584
2007,1,1394,5,11,3,2,2,2,1,2,4,554,524,4,22,2,2,2,2,291238
2007,1,1394,5,11,3,2,2,2,1,2,4,554,524,20,26,2,2,2,2,291238
2007,1,1419,5,11,3,2,2,2,1,2,4,554,524,16,4,2,2,2,2,277876
1993,2,914,8,23,8,6,1,2,,,4,523,536,14,24,4,5,3,5,137168
2006,11,93,3,4,3,3,1,1,,1,4,123,181,0,28,4,3,3,1,176991
1986,27,1377,8,4,7,5,,1,1,1,4,713,,29,21,3,1,1,1,19823
2007,16,1387,14,24,7,3,1,1,2,2,1,,127,22,22,3,2,3,2,332743
1997,4,558,2,12,1,7,1,1,1,2,5,82,56,4,23,4,,,3,69911
2006,,91,3,12,3,2,1,1,,1,5,111,184,12,17,3,2,2,2,19469
1985,2,587,2,9,1,5,1,1,1,2,3,8,76,18,28,2,1,1,,55752
1985,2,587,2,7,1,5,1,1,1,2,3,8,76,24,11,2,1,1,,6161
2007,5,1334,5,4,2,4,1,1,1,2,5,7,65,14,15,2,1,1,1,326548
2007,5,1483,5,4,2,4,1,1,1,2,5,7,65,26,19,2,1,1,1,36176
2007,5,1273,5,3,2,4,1,1,1,2,5,7,65,18,21,2,1,1,1,28938
2007,5,1273,5,8,2,4,1,1,1,2,5,7,65,20,9,2,1,1,1,37964
2007,5,1483,5,8,2,4,1,1,1,2,5,7,65,19,10,2,1,1,1,371681
2007,5,1273,5,1,2,4,1,1,1,2,5,7,65,9,6,2,1,1,1,317699
2007,5,1334,5,3,2,4,1,1,1,2,5,7,65,22,15,2,1,1,1,315929
2006,11,256,5,15,6,1,1,1,,,5,249,536,1,22,2,1,2,2,34617
2005,,914,6,12,8,5,1,2,,,7,67,798,4,10,3,4,4,4,171681
2007,1,1419,5,4,3,2,2,2,1,2,4,554,524,26,8,2,2,2,2,268849
2005,,914,6,21,8,5,1,2,,,7,67,798,3,17,3,4,4,4,172566
2007,1,1366,5,21,3,2,2,2,1,2,4,554,524,23,25,2,2,2,2,353982
1993,2,914,8,15,8,6,1,2,,,4,523,536,17,21,4,5,3,5,128318
2007,1,1366,5,11,3,2,2,2,1,2,4,554,524,20,12,2,2,2,2,283185
2005,,914,6,1,8,5,1,2,,,7,67,798,10,10,3,4,4,4,169911
1992,1,355,5,5,3,7,1,1,1,1,3,2,,30,17,4,5,3,5,3853
2007,1,113,5,16,3,2,2,2,1,2,4,554,524,11,1,2,2,2,2,221238
2005,,914,6,21,8,5,1,2,,,7,67,798,2,10,3,4,4,4,159292
1993,2,914,8,14,8,6,1,2,,,4,523,536,2,14,4,5,3,5,129646
1993,2,1288,8,13,8,6,1,2,,,4,523,536,14,4,4,5,3,5,176991
2005,,1184,6,2,8,5,1,2,,,7,67,798,15,9,3,4,4,4,225663
1993,2,644,8,1,8,6,1,2,,,4,523,536,10,27,4,5,3,5,9235
1992,1,355,5,9,3,7,1,1,1,1,3,2,,23,25,4,5,3,5,38584
2007,16,868,14,2,7,3,1,1,2,2,1,,127,20,30,3,2,3,2,225663
