CurrentLoan,CreditScore,Income,Years,Debt,YearsofCreditHistory,Delinquent,OpenAccounts,CreditProblems,CreditBalance,MaxOpenCredit
99999999,746,1132590,8,8230.23,22,20,5,0,298623,917180
107668,747,1394790,4,29290.59,18.2,11,10,0,160474,529386
268906,738,909606,1,16145.63,18,14,11,0,589285,1201288
62172,,,1,3239.69,5.8,0,11,0,97774,193182
156398,716,1234962,10,26757.7,19.5,9,21,0,466108,958606
44198,717,839838,10,15047.24,17.5,40,7,1,127699,176858
765314,690,1888410,5,10543.48,16.5,0,11,0,97869,602822
232364,742,580260,5,4506.61,22.3,0,5,0,79363,685740
141724,7150,847400,5,14405.61,13.8,66,8,0,80750,102520
180356,,,10,10221.43,25.1,0,7,1,85424,202708
111408,736,1346891,3,19529.91,10.6,0,13,0,170221,227348
161854,701,660079,2,7810.9,17.9,76,9,0,231401,380050
145046,730,832428,3,15677.28,13.2,0,6,1,30552,123288
272976,,,1,9332.23,12.8,0,18,0,209171,552970
61358,746,454214,2,1059.82,13.3,0,3,0,3553,32428
152196,,,3,7908.56,18,39,10,0,117439,358776
313676,,,10,7376.37,17.3,0,14,1,186257,346720
293436,730,1357531,10,21946.9,26.2,0,7,0,763857,1188792
773696,697,2959136,8,47099.48,17,0,9,0,786942,1143274
129844,727,1214746,8,19840.94,21.2,11,11,0,175427,448404
211156,717,1177848,5,14173.24,18.7,78,7,0,276754,494538
224202,699,619609,2,17504.13,7.6,36,14,0,107730,188452
150942,,,4,5122.02,6.6,0,8,0,93176,567842
442706,648,1593036,10,29736.71,30.4,0,19,0,473214,740432
403700,673,1458136,5,6938.23,21,0,8,1,363375,627990
217756,738,752248,5,10324.6,13.8,0,10,0,95456,311366
99999999,749,1483881,4,15086.19,22.4,0,15,0,65968,606210
404734,657,1209977,1,30451.11,20.8,0,24,0,600096,1030942
260744,704,2683579,3,31308.39,37.3,40,14,1,109003,167376
490226,6640,1896390,10,19912.19,14,0,7,0,75487,195558
328614,707,794656,7,12714.42,20,0,13,0,419710,880396
99999999,712,1874920,7,10452.66,22.4,19,5,3,159239,312510
54736,707,1550362,10,29844.63,18,82,12,0,772806,963204
71962,743,310783,1,388.55,30.4,0,7,1,30438,244750
180026,,,2,13863.73,8.7,0,11,0,210615,258874
324632,,,5,16335.25,19.5,16,10,0,257925,449768
120736,725,1137606,1,6598.13,16.3,5,14,0,144704,504680
99999999,675,782686,5,13892.61,6.4,0,12,0,66006,250580
259908,,,1,16203.58,16.1,0,7,0,110580,158092
99999999,721,661808,5,14725.19,13.7,77,18,0,323380,455510
539836,720,1995399,10,31261.08,24.5,33,9,0,300694,399278
518804,,,3,26183.9,22.1,0,15,0,386612,1695628
99999999,728,775276,3,14536.52,9.8,0,15,0,334628,646844
99999999,742,2406825,4,22463.7,13.6,0,10,1,580963,1067792
468754,746,1773517,10,36061.62,31.4,0,8,2,692949,1582548
430628,,,3,11365.8,15.4,0,7,0,338428,876678
213004,731,1316814,10,13870.38,22.1,51,14,0,160341,1355156
235026,724,966530,9,15142.24,10.3,0,10,0,52934,255332
517484,748,1955309,10,22160.08,19.2,0,20,0,291099,1353660
99999999,709,755060,7,15227.17,14.3,0,13,0,220286,362824
240548,695,1556974,6,33345,26,36,32,1,294614,1176274
781946,643,1736505,10,29810.05,30.1,2,8,0,64619,82676
99999999,745,728992,4,15430.47,21.5,36,11,1,69407,275220
761684,747,1597558,10,23696.99,25,0,16,0,607107,2440878
126346,714,858458,8,9586.07,14.8,56,5,0,78546,117656
248094,725,557745,1,8319.72,16.1,0,7,0,211679,441628
220858,,,7,12974.34,21.8,14,11,0,25365,114730
335082,,,7,12290.91,10.9,23,9,0,137750,301510
210892,746,739898,1,7645.6,10.5,28,10,0,74765,250206
443916,738,2396147,2,36541.18,15.7,78,16,0,539961,897006
390170,,,10,3279.4,27.7,12,9,0,105412,266508
436700,,,10,12584.27,18,0,4,0,489744,851466
756448,741,1530583,4,21683.18,22.1,0,7,0,861156,1140876
178310,716,1308929,5,20288.39,14.8,61,11,0,231344,401038
99999999,708,805391,5,18792.52,17.9,44,10,0,99180,219164
268884,,,5,35680.86,21.7,0,14,1,1136485,1638780
310244,745,1456217,3,20022.77,14.7,0,7,0,154261,472538
99999999,737,1553744,4,27967.43,28.5,28,16,0,346617,707850
661892,742,1849023,2,27735.25,11.8,0,15,0,201134,684992
225522,743,1685547,10,18681.56,13.6,0,7,0,101973,219076
229944,708,584934,1,872.48,16.2,0,10,0,76304,552222
72424,737,786695,8,7604.75,17.5,45,16,0,166136,307296
537922,742,2032506,8,27608.14,18.2,26,10,0,1172718,1398430
359700,713,1941610,10,26697.09,22.2,72,9,0,539030,762058
320584,606,894349,0,21091.52,13.8,0,9,0,34238,72732
99999999,709,1465394,8,35413.91,15.2,0,19,0,211489,1475166
620796,713,2393525,2,21142.82,18.3,49,10,0,132544,534732
257642,741,3152157,2,11163.83,20.6,28,15,0,284278,901802
87208,707,1977254,10,45311.77,22.6,41,13,0,316160,416460
44330,675,765700,10,10336.95,21.7,10,4,0,38722,53196
123156,731,1063715,1,7694.05,13.6,33,6,0,114,67188
782254,634,3223445,10,24740.09,15.1,65,10,1,44327,255310
21670,713,805068,10,7782.4,17.4,36,21,0,87799,612370
270028,,,3,17509.26,21.5,49,10,0,227335,427306
393228,683,1320690,4,25643.54,15.3,0,14,0,146338,382470
125422,735,928511,7,14546.59,15.9,55,17,0,73549,197120
99999999,707,2012803,0,53339.46,17,0,13,0,953857,1434378
389224,,,5,17268.34,12.1,0,6,0,339226,458348
431640,722,2329875,4,21551.32,22.6,55,12,0,238621,325820
75064,697,375858,3,9333.94,11.7,37,2,0,19950,54384
80938,695,431034,1,7708.3,11.4,0,6,0,89547,148324
298298,701,1217843,10,11467.83,13.4,17,7,0,75316,192940
295966,,,5,15682.22,18.6,36,8,0,62814,246576
108064,731,597303,3,5475.23,12.8,20,15,1,32110,97328
256982,,,8,15095.88,19.8,0,11,0,338732,1431430
216722,710,580222,1,14070.45,19.1,15,11,0,56544,382888
427790,,,0,17395.26,26.5,6,22,0,2660095,11536008
354860,7350,1436552,10,36512.11,16.3,0,19,0,2092280,4017640
354882,732,948214,6,18727.35,8.5,51,9,0,0,0
475244,736,1772339,8,34412.61,19.2,0,22,0,537852,777524
140976,707,1311114,4,12674.14,8.4,14,12,0,150936,232078
110924,701,728061,10,4538.34,28.9,42,9,1,97071,226138
112222,732,1259947,10,24988.99,15.4,0,19,0,725135,1367476
179300,706,1025924,10,7395.18,17.9,0,10,0,177004,513656
270160,709,1555416,2,12598.9,21.2,12,5,0,239229,352418
99999999,701,1381813,10,38230.28,17.7,0,13,0,347947,489566
340186,652,1700424,10,20688.53,31.5,33,9,0,193971,271260
99999999,746,846944,10,15456.88,41.4,48,19,0,203471,1095842
238656,737,993111,9,8226.24,15.4,0,4,0,220457,312818
222530,708,768740,1,17168.4,14.4,0,19,0,406885,651662
99999999,746,1172908,0,2257.77,20.8,50,10,0,14611,144540
162184,731,465006,3,3754.97,10.3,0,4,0,130188,268224
533544,,,10,29070.57,22.4,0,8,0,457881,1084226
228778,7400,676305,10,10764.45,12.5,0,10,0,285570,387200
300916,737,1386050,6,22638.88,17,0,9,0,255417,332310
235972,,,6,22058.05,14.7,0,6,0,322981,408276
328262,749,2097828,3,23076.07,23,64,9,1,323912,713042
523248,663,1788983,1,13536.55,15.5,49,17,0,165528,426888
99999999,720,1704452,7,20169.26,22.6,73,9,0,635265,793496
245938,707,1024043,10,17152.82,14.9,0,8,0,254391,388586
525932,732,1684407,10,12225.93,14.7,0,7,0,331569,467060
448228,744,1354871,10,6153.53,16.9,0,8,0,54169,285142
347710,,,10,21771.15,19.2,0,7,0,24377,239228
182116,,,1,26269.02,29.3,71,26,1,410362,1044318
220682,712,2858835,6,22799.24,12.5,20,9,0,339815,496826
448756,706,1162686,3,25772.93,9.7,0,11,0,401375,511852
186912,740,484747,5,8886.87,10.2,0,10,0,285323,671484
221518,727,1243531,9,24559.59,9.5,0,13,0,356231,440682
395648,,,5,35830.2,15.5,8,10,0,165281,285648
527054,744,2465554,8,20135.44,26,0,10,0,453150,1097690
458964,704,1581731,10,28339.26,23.7,35,13,0,2203791,5406258
79178,676,382508,2,6215.85,5.9,0,10,0,59166,110682
220594,744,609634,0,6401.29,27.7,5,20,0,373692,1456884
218350,733,1470429,0,30388.79,11.8,0,18,1,343938,502216
351538,698,1214423,1,27931.71,20.2,27,15,0,472283,654896
126170,,,0,13301.14,7.7,46,7,0,104234,179322
333960,,,8,10927.85,11.9,19,16,0,175731,929104
156486,719,637089,5,6795.73,17,66,11,0,285950,453574
128040,730,1551920,10,14096.67,22.6,0,10,0,360867,426800
99999999,745,1713420,10,6625.3,33.1,0,8,0,44688,522588
99999999,750,1401782,10,16821.27,18,57,12,0,255816,881562
219670,744,1271100,1,15570.88,31.8,50,7,1,166459,338140
328504,,,10,10268.17,16.7,0,8,0,79724,566324
88220,746,1047622,9,2706.36,13.1,0,5,0,73302,297792
524348,,,8,14702.01,17.9,0,8,1,302024,434962
336006,721,1166942,10,24603.1,17.2,33,8,0,145293,199320
99999999,745,1663089,10,33400.67,12,0,14,0,622383,1168002
184514,,,5,9197.52,19.2,22,11,0,147592,401170
258302,730,743584,2,7807.67,10.8,0,10,0,155591,488246
769010,729,2808352,1,22981.64,33.8,50,11,0,372077,474474
433268,668,2982183,10,45726.92,34.1,20,21,0,579500,1235740
127182,740,859617,10,15186.51,26.5,0,16,1,97318,450692
349580,749,1320823,10,30378.91,22.3,0,26,5,262694,1376320
179058,717,1799680,2,14502.32,23.3,14,6,0,234099,512380
222618,729,1441967,10,3652.94,25.9,29,5,1,79914,106854
483670,7030,949335,7,10363.55,15.8,22,11,1,14592,238106
445852,745,1867510,1,35949.52,10.1,40,13,0,205770,505868
129008,746,523697,7,12481.29,9,26,20,0,89281,494670
715682,,,10,27930,17.7,0,12,0,291935,931194
481316,7070,965827,10,13441.17,19.7,0,9,0,237082,315524
174658,7450,754224,10,14204.4,28,67,11,0,170088,360074
89892,741,2524416,1,10665.84,20,71,9,0,229805,474298
99999999,749,1719918,10,23118.63,25.3,0,9,0,381273,796884
222332,,,9,2822.64,20.8,18,6,1,89357,215578
256036,694,1795443,10,24537.55,10.9,33,12,0,201761,295350
454630,656,2020935,10,25093.3,28.7,30,11,0,285342,358732
288178,,,10,12029.09,15.6,9,9,0,312246,936650
215270,,,10,23053.46,16.8,0,18,0,426683,748550
99999999,741,616341,3,7914.83,16,19,6,0,4484,33110
733172,706,1417590,10,33667.81,18,0,15,0,548568,903518
385330,737,1336669,1,14146.45,38.7,0,19,0,585561,2023912
191510,,,1,13439.08,20.3,0,10,0,659661,1483130
380138,741,946276,1,18452.23,17.6,0,21,0,343691,487696
155210,736,861764,10,20825.71,10.9,0,13,0,133247,232716
225456,,,9,19257.07,30.6,22,12,0,281865,490776
87362,729,584706,9,9403.86,10,0,8,0,186105,388960
99999999,703,1121988,2,6470.07,16.9,0,5,0,92530,173360
435820,650,1505560,2,26723.69,10.5,0,15,0,390640,637054
346764,702,1123014,1,15272.96,17.8,77,6,0,448571,548460
111914,718,947131,5,576.27,30.7,48,4,0,57741,134244
767844,714,1724155,1,19727.13,18,0,7,0,229786,515636
498850,715,1115262,10,24350.02,9.5,36,18,0,386574,1177924
430364,,,3,23415.79,14.1,0,15,1,404643,632302
285604,706,853803,10,5898.36,29.4,59,14,0,89566,349228
135234,,,1,29036.18,23,0,18,0,684722,7016218
182886,713,1897340,1,3162.36,19.4,26,9,1,120156,244948
64680,,,10,26184.66,28.8,48,9,0,412281,885676
161150,732,1410997,1,17872.73,12.1,0,13,1,114646,250470
377740,652,1039338,7,16196.36,17.7,77,9,0,248007,483428
309738,657,741228,7,14083.18,19.2,38,9,0,288363,431376
384252,,,5,18751.86,16.5,0,8,0,272365,430254
222728,731,1154136,1,15196.2,6.5,0,8,0,269116,407352
313060,,,3,19311.6,21,0,9,0,428583,615714
221782,732,2777325,10,31013.51,22,3,10,0,198493,314842
206404,,,9,24243.05,17.2,0,11,1,227658,976272
331936,,,10,25440.62,17.6,0,11,0,343919,892870
221144,665,611154,2,14566.16,10.9,0,17,0,41420,128238
145684,693,813010,4,25135.29,14.1,52,16,1,75050,297594
70334,705,552843,4,13728.83,16.7,20,12,0,275728,426250
243672,6620,682499,4,2616.3,12,0,10,0,56924,219736
87736,664,606176,2,1763.01,9.5,0,3,0,61788,87780
99999999,750,1428477,3,15475.12,27.7,31,14,0,218253,1989944
232804,725,696749,5,15851.13,14.5,0,20,1,106267,585970
131362,701,1058794,10,3141.08,19.3,16,8,0,99617,324016
646272,710,2232576,5,26046.72,17.7,26,16,0,361285,712668
179366,725,2071836,1,51623,21.3,36,30,0,133532,495550
216942,747,786904,10,7672.39,27.9,0,10,0,210140,779878
174944,740,1582852,7,32316.53,17.6,0,13,0,585238,892804
304216,740,4766644,1,24150.9,18.9,0,13,10,278065,356554
582648,698,1645039,2,24949.85,17.5,0,17,1,490257,719466
76670,696,375706,3,11960.12,17.7,0,15,1,168473,330616
654720,,,10,23178.1,17.4,0,10,0,832922,1303302
221892,706,804859,3,18042.4,16.7,13,28,0,354673,1153592
443498,,,1,15853.98,11.1,0,9,0,376428,581922
191136,735,528998,7,15032.42,22.5,46,11,0,219279,316602
452804,720,874418,4,15957.91,16.9,0,14,0,566618,1115796
260194,,,10,20321.45,29.6,25,13,0,447336,808060
267410,712,1758241,1,43223.1,15,0,18,0,1201959,1486892
350526,7280,1135212,1,15609.26,20.3,24,8,0,218329,396220
264396,740,847476,10,6462.09,30,0,7,2,194465,405702
336380,704,2227180,8,2765.45,21,72,2,0,112328,134508
520124,741,1901330,7,16636.59,15,31,14,0,489725,572198
133694,734,1178646,7,12768.57,10.1,58,6,0,83296,111386
177144,668,563160,3,13281.19,12.1,0,8,1,34390,362010
170214,722,836475,3,18960.29,14,34,11,0,106761,166386
665962,690,1508600,10,29291.92,16.1,0,13,0,419444,788436
218834,721,1360742,10,317.49,15.8,0,2,0,10564,359788
99999999,735,1539152,5,17058.96,18.7,0,7,0,394820,499070
280038,703,1317498,1,24812.86,11,0,11,0,792433,998426
130724,748,1279593,2,11943.02,21.5,0,12,0,113829,1029688
99999999,747,2328925,10,40561.96,27.6,13,13,0,180348,506858
99110,740,296951,0,3810.83,17.5,0,5,0,65626,140976
326304,,,10,7233.11,20.2,49,22,0,279186,1561626
500456,689,1500088,8,18626.08,17,0,6,0,205637,773102
433180,,,10,21861.97,32.5,0,12,0,350018,706068
216084,,,9,30284.48,20.1,0,8,0,204174,547228
713152,6170,3041520,3,28134.06,8,21,6,0,28424,144958
771936,727,1828560,7,28342.68,16.4,28,6,0,552805,807158
153560,745,1023131,4,13300.57,12,0,9,0,38836,371690
99999999,670,1711463,7,14975.23,19.7,0,5,0,685862,807884
107756,751,651377,10,11073.2,34.8,0,7,1,87989,307802
113718,723,555788,0,8059.04,14,0,6,1,112461,171556
217382,671,938695,8,11420.71,19.7,69,12,0,131480,286682
130900,729,847913,1,3412.97,9.9,58,5,0,104139,320694
225126,719,1788736,7,15055.03,19.3,61,21,0,329593,529320
216414,,,9,7722.93,14,0,10,0,229824,344696
151492,715,392502,10,5037.09,10.9,0,7,0,88787,229460
618838,,,9,18133.03,17.7,0,9,2,613700,835010
218988,722,658160,1,11024.18,20.5,0,6,0,130606,183964
160424,734,1289302,3,23314.71,22.1,0,8,0,271453,356356
269148,608,1878948,10,59186.52,16,11,18,0,528789,1101232
57420,679,273695,0,4630.11,22.5,0,8,0,112936,198726
99999999,728,1396785,10,10056.89,16.6,46,9,0,514843,1141998
394482,713,1206975,10,17501.28,16.6,9,10,0,186485,319880
99999999,735,648185,4,7184.09,20.9,45,7,0,343539,1156342
204864,621,969475,2,2270.12,20.8,0,6,2,66861,130328
318560,737,1154364,10,29532.46,12.1,0,11,0,322658,585596
763532,649,1714484,10,48291.16,31.8,14,21,0,372723,802164
52184,712,958740,1,8708.65,11.6,19,11,0,72390,139920
130130,743,2247624,2,7042.54,10.2,0,28,1,23731,639034
480172,711,1215810,1,13272.83,18.7,0,14,0,484747,1013144
66902,692,1208609,0,34143.19,17.6,0,17,0,487008,860926
768086,718,3508483,10,16431.39,23.7,18,16,0,796670,1677192
301400,,,3,48122.82,15.2,0,19,0,788481,1269818
545710,6400,1470448,10,37128.66,17.8,0,22,0,327465,442948
51612,731,742824,6,5218.35,11.8,0,6,0,63650,118294
427724,742,2091881,9,25625.49,20.5,0,12,0,518168,739794
99999999,735,729429,7,6747.28,20.2,0,11,1,165243,331012
66638,721,1826204,4,29219.15,15.7,8,17,0,375934,551012
334532,738,2022341,3,32188.85,20.9,44,11,0,460693,1162150
674388,,,10,30739.15,18.1,55,9,0,87343,103400
666072,731,1917480,3,36911.49,23.6,0,25,0,647539,1999382
245718,692,926041,1,28475.87,17.3,22,11,0,378309,656744
581724,6980,1137492,10,16588.52,17.6,31,15,0,497173,790768
267960,698,1060675,5,23511.74,18.6,24,24,0,377834,788282
536294,720,1235095,6,21202.48,16,12,10,0,598975,744172
365464,692,798380,10,10511.94,30.6,16,7,0,322164,481360
283294,731,1156701,1,14651.66,16.3,0,9,0,269496,477862
66836,730,865868,3,5159.26,13.9,17,7,0,0,0
399212,722,957695,6,15881.91,18.3,9,10,0,49704,182138
492140,735,1062556,10,10094.32,13.3,34,6,0,53751,363924
64372,705,926440,7,20767.57,11.2,76,6,0,505039,600996
335214,,,10,13317.1,15.9,48,11,0,336927,507320
152482,717,2050499,10,30928.2,20,16,11,0,162051,400928
536184,,,10,19165.87,16.5,14,5,0,377454,672408
317966,711,1830745,7,14234.04,9.8,0,6,0,153444,205392
450538,6600,886065,10,16835.14,19.4,12,9,1,131689,336622
195668,710,1306801,9,5314.3,10.3,0,3,0,0,0
99999999,748,1678023,10,11634.27,23.2,0,14,0,205466,826056
99999999,744,1041105,9,13239.39,26,0,9,0,88274,292050
535920,651,1062442,3,28863.28,14.4,41,16,0,412205,802164
577808,674,1084919,10,24772.39,24.5,18,10,0,167542,216766
258830,723,563673,1,15970.83,8.5,71,12,0,345971,794838
65252,705,1033201,10,7852.32,14.2,0,5,0,132449,206712
99999999,746,1039319,3,8920.69,11.4,0,6,0,176149,283294
99999999,712,2434147,10,21501.54,27.5,62,22,4,268527,410212
178200,,,4,15088.47,12.5,0,8,0,87647,120230
550616,716,1521672,2,40451.19,19.7,0,14,0,447146,583704
331958,694,688028,0,13588.61,25,24,5,0,280725,422686
172810,,,10,15878.68,13.5,0,8,0,194180,265760
86240,744,930905,0,12877.63,16.5,0,11,0,151373,572770
193710,,,5,13243.76,21.3,0,11,1,92796,383724
336204,,,5,6266.96,26,44,5,0,187720,335962
181368,,,1,16012.82,10.4,0,7,0,102885,408012
88374,715,476995,8,8427.07,13.6,0,5,0,150005,271832
212146,724,867825,8,12149.55,17,0,12,0,143659,274472
607376,729,1292646,10,16265.71,21.8,56,10,0,409108,503404
295350,731,867920,0,15260.8,15.7,22,19,0,89889,198638
154594,695,269914,1,8614.6,13.9,27,6,0,39463,164978
65186,726,1313375,3,15651.06,42.2,30,12,0,134254,706552
112046,719,1257857,2,17819.53,20.7,0,9,0,483018,689612
219868,746,797525,2,13159.02,18.9,0,9,0,297445,549274
218064,716,1224132,3,1938.19,8.9,0,4,0,61123,91564
509608,,,4,23631.44,11.9,11,12,0,120042,239250
53966,665,349486,3,9407.09,17.6,0,11,0,256253,321464
311630,718,841073,1,12475.78,22,0,18,0,207518,370238
99999999,716,817798,2,22284.72,18.6,38,12,1,224884,401236
142912,720,1832075,5,2793.95,18,0,7,0,215992,1078000
96272,723,622345,1,16129.1,11.4,73,8,1,172615,342276
154440,744,929480,7,20990.82,19.6,0,9,0,168169,236874
645326,732,1241669,10,25143.84,23,18,13,0,514140,1263966
585728,722,2412544,10,22115.05,31.3,15,10,0,1140798,2100032
661122,729,8279060,2,72441.68,41.4,0,10,0,2095700,2598068
280588,744,969285,0,5775.43,23.7,0,8,0,164540,558712
786940,,,9,23382.54,14,23,11,0,601996,1909732
263208,723,1638579,10,28948.21,22.3,32,18,0,708795,993586
267564,,,1,2386.78,12.2,0,9,0,136002,519750
580118,739,1541584,1,19783.75,9.6,72,18,0,396758,664840
58630,724,1162572,4,12206.93,13.2,12,10,0,9234,10846
391556,,,3,11428.88,16.3,0,11,0,216163,452628
99999999,735,747156,5,12701.69,35.3,9,11,0,228342,317812
391930,717,1438528,8,29250.12,14.8,7,24,0,155781,784212
394526,7210,1078991,10,17084.04,16.4,0,15,0,276051,910646
498058,,,3,29104.58,18.3,0,19,0,66443,1373900
108284,,,0,6676.6,37.4,0,5,1,233529,333410
326348,749,1164928,10,16697.39,23,0,16,0,427253,1054812
262460,,,10,24361.61,32.1,38,19,0,394763,719818
264550,7480,2094389,10,21292.92,20.1,0,11,0,407303,990770
249524,706,1361027,10,29262.09,9.8,0,9,0,215194,361130
329516,716,2276580,10,19730.36,10,0,8,0,146946,193358
220880,748,1378298,10,12519.67,42.8,24,12,0,73036,1879438
89320,,,10,3070.21,15.8,0,7,0,86678,214478
129228,708,715008,4,8425.36,15,0,3,0,65037,365552
391688,634,1691361,10,24595.12,26,10,9,1,322373,541772
748528,725,2322047,1,1180.28,23.6,20,4,0,50559,609884
35002,718,340043,2,5894.18,8.8,0,8,0,24491,162008
99999999,723,750652,10,13324.13,13.8,0,15,0,238697,774158
555016,723,2971809,10,21297.86,19.8,0,12,0,302917,741532
323246,707,1004967,1,13005.88,15.3,30,5,0,189715,241384
190366,716,460655,6,4453.03,9.9,0,6,0,117059,132880
452936,,,10,26389.1,17.9,0,18,0,929328,1814626
201476,702,367327,4,3520.13,16.1,0,4,0,143146,172282
330396,674,760912,10,16866.87,14.4,0,4,0,95000,162976
173844,717,769500,10,9362.06,27.6,57,7,0,130530,191334
262570,712,1814158,3,13258.39,18.8,0,11,0,494228,647350
19470,731,224219,3,3120.37,14.4,0,4,0,57627,101706
344014,747,1671183,7,9929.59,10.7,0,5,0,202065,1299848
180928,,,5,21083.16,13,15,29,0,92663,558822
510114,719,1120050,10,32481.45,18.8,0,21,0,399114,1610202
218438,,,10,17189.3,16.9,0,12,0,184148,253528
691966,,,10,22534.76,28.8,29,8,0,357960,581328
447216,723,1448370,10,14725.19,22.6,53,17,0,316806,824340
442904,692,1625659,1,24926.67,35.9,0,16,0,559854,704616
99999999,744,1490208,10,7389.1,26.2,0,5,0,198417,355652
